system:index,LST_C,Latitude,Longitude,NDVI,.geo
00000000000000001177_0,32.210000000000036,12.800139399183267,79.83889377022763,0.2493134,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.83777087612248,12.796501222282584]}"
00000000000000001246_0,31.403333333333364,12.800408893768504,80.19606392719355,0.5200773,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.19709698977029,12.796501222282584]}"
00000000000000000a06_0,32.166666666666686,12.800498725296915,80.01801783788105,0.43204728,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.01743393294637,12.796501222282584]}"
000000000000000001ec_0,32.10000000000002,12.800588556825327,80.01065165255127,0.44949672,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.00845078010519,12.796501222282584]}"
00000000000000000681_0,31.690000000000055,12.800588556825327,80.06302343361544,0.3254216,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.06234969715236,12.796501222282584]}"
000000000000000008ab_0,31.450000000000045,12.800588556825327,80.10578324113953,0.41962048,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.10726546135834,12.796501222282584]}"
00000000000000000d03_0,31.43571428571431,12.80067838835374,80.1476447333795,0.19483437,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.14319807272311,12.796501222282584]}"
0000000000000000032b_0,31.207142857142912,12.800858051410563,80.13461916175977,0.33445284,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.13421491988191,12.796501222282584]}"
0000000000000000137e_0,32.82666666666671,12.800858051410563,79.81598673048258,0.5164179,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.81980457044008,12.796501222282584]}"
00000000000000000057_0,30.404285714285777,12.800947882938976,80.22948125576279,0.36018682,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.23302960113507,12.796501222282584]}"
000000000000000001f6_0,32.166666666666686,12.800947882938976,80.0213416044323,0.41215226,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.01743393294637,12.796501222282584]}"
00000000000000000914_0,30.821428571428612,12.800947882938976,79.9852293300107,0.5482728,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.9815013215816,12.796501222282584]}"
00000000000000000d8a_0,30.481428571428637,12.800947882938976,79.96681386668624,0.321817,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.96353501589921,12.796501222282584]}"
000000000000000004de_0,32.13500000000005,12.801037714467387,79.8304496065569,0.48293963,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.82878772328128,12.805484375123779]}"
00000000000000000a18_0,31.08000000000004,12.801037714467387,80.11638336149214,0.4170352,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.11624861419953,12.805484375123779]}"
00000000000000000819_0,32.84666666666669,12.801307209052624,80.08826609309921,0.34133074,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.08929915567595,12.805484375123779]}"
